accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.989715701279259932e-06,7.895972950789770500e-04,9.793587769197474202e+00
-5.158951241746498307e-06,7.792426591990645607e-04,9.793581513934785931e+00
-2.056408397352766972e-06,7.840927895944022454e-04,9.793594530331219516e+00
7.971215831467614229e-06,7.818483131321474081e-04,9.793589604266033533e+00
2.070926020847886642e-06,7.839163695084593736e-04,9.793586328576902034e+00
-1.598756623108324644e-06,7.849546145492208990e-04,9.793591435334001005e+00
-1.219221171064201439e-06,7.760506575031785557e-04,9.793585369129480966e+00
2.585344102333982277e-06,7.766226719947601090e-04,9.793593294066084809e+00
6.429903536934261419e-06,7.741142541038577556e-04,9.793586231881757698e+00
3.401724088958467016e-06,7.767423674846072766e-04,9.793589634776516561e+00
-6.296597808685490719e-06,7.843584152565844089e-04,9.793583640657958611e+00
-9.765630669781171386e-06,7.805365980250049190e-04,9.793588867172896784e+00
-2.319010007287846925e-06,7.777955620597900568e-04,9.793581375692953728e+00
5.051619547284309909e-06,7.812567664397048091e-04,9.793589873051594452e+00
3.601055705011523318e-06,7.786341440537662565e-04,9.793586578114885199e+00
-4.373897682701099778e-06,7.815033414212296282e-04,9.793587202746392606e+00
-1.460150019820432802e-06,7.834466650598763448e-04,9.793585298937635741e+00
5.280918053319116136e-06,7.798452897387116861e-04,9.793592629975893971e+00
-2.995769175880652813e-06,7.754215602676152756e-04,9.793581934752907614e+00
2.778346411901185085e-06,7.824121386230652999e-04,9.793592502696316870e+00
-4.372134293438622271e-06,7.806680196230961037e-04,9.793594526480234208e+00
5.435174783037367464e-07,7.755243441240444562e-04,9.793582378782343056e+00
-2.111597213614259172e-06,7.800926962077740735e-04,9.793594769762346885e+00
-5.817851573111493473e-06,7.847779860558330798e-04,9.793592097751925962e+00
-6.201622498107163780e-07,7.785925682647986497e-04,9.793595108214773859e+00
-3.027885709032763647e-06,7.848570728581602844e-04,9.793588656634398149e+00
-3.057646162225041527e-06,7.779869365545664722e-04,9.793590427480440397e+00
1.449428569388019043e-06,7.768738161689988948e-04,9.793589193652110225e+00
7.226521187006565417e-06,7.859615390878948267e-04,9.793588878574988499e+00
6.010982955646711166e-06,7.881017659781517108e-04,9.793586662348698013e+00
-5.531728138733777990e-07,7.807541414762790826e-04,9.793590310759116235e+00
-2.298685263482869469e-06,7.847508733377510414e-04,9.793589625670298560e+00
-2.390714007526840863e-06,7.883693313292578940e-04,9.793583289734074881e+00
-2.737600954422047423e-06,7.747003870830103042e-04,9.793590211381888011e+00
1.227121728577429468e-06,7.827379553403150322e-04,9.793584273096541892e+00
1.521573927582222221e-06,7.801846793963588969e-04,9.793587251375976521e+00
