gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200004241911621250e+01,1.200000283274400346e+02,4.684383403180579997e+00,1.963639655678591292e-02,9.893779669293701673e+00,5.412399628231506776e-03
3.199998308252906654e+01,1.200000402508522228e+02,1.868041980553596382e+00,2.660616933144572399e-02,9.901009936506666165e+00,-7.535962761713616009e-02
3.199998799942502359e+01,1.200000083940960707e+02,1.115794395629363045e+01,-1.840964595482519686e-03,1.001341244871286662e+01,-2.522343568683292972e-02
3.200001351294275054e+01,1.199999675257326288e+02,-6.425504104255396420e+00,-1.599823506089216325e-03,9.923410912430416175e+00,-5.559943842635548666e-02
3.199992326165051537e+01,1.200000556823905526e+02,6.578244034767608550e-01,-6.689327844013187585e-02,1.008252521660657663e+01,-4.475579652558484001e-02
3.200003303618024120e+01,1.200000197201874386e+02,9.415669338647589370e+00,-2.720866025676482811e-03,9.940377013036487241e+00,-2.232750257709615466e-02
3.200003792694241156e+01,1.200000962518999899e+02,-2.087872072711109528e+00,8.222910220166189041e-03,9.997562101731544359e+00,-3.196325933423057458e-02
3.200005675358846702e+01,1.200001298997815127e+02,-6.604560615317419447e+00,6.376971550930837784e-02,1.008688934155030559e+01,-1.943949551099509454e-02
3.199998428798756223e+01,1.200001229775070044e+02,3.143130845887210506e-02,4.941855681841281905e-02,9.996451451076969974e+00,6.476313139983991274e-02
3.200000550383420972e+01,1.200001066626119268e+02,2.920018715430438228e+00,-3.961321287612103170e-02,1.007329945838308305e+01,2.476683722307242153e-02
3.199999112000855206e+01,1.200001460363471608e+02,-3.935973767272586521e+00,-6.787106339326165472e-02,9.974961617583208096e+00,3.301225908445370311e-02
3.200005995617094356e+01,1.200001337051540986e+02,7.994330222197306490e+00,-9.509971587407173299e-02,9.967814599583272539e+00,5.117557484491008779e-02
3.200003542096291653e+01,1.200001321540879076e+02,2.520312905911359813e+00,-5.604056318649591577e-03,1.001295285609872110e+01,-1.498609804170872306e-02
3.200004869066705737e+01,1.200002388342062858e+02,-9.855166937118763570e+00,9.134845621180760766e-02,1.000503934341205081e+01,-3.343497626081874240e-03
3.199999891279286501e+01,1.200001230998273201e+02,-5.158980845645260160e+00,-3.695470044704423501e-02,1.000121665229686840e+01,-2.251647997314180222e-02
3.200001387961297183e+01,1.200001406286720567e+02,-2.633867564625510305e+00,-1.436876235220914677e-01,1.005164181876861385e+01,-1.847204537916560113e-02
3.199994389570084152e+01,1.200001544662715247e+02,-7.942952698503780162e+00,7.043277642118984938e-02,1.016047501544167808e+01,-3.962327454681000699e-02
3.200000318604643468e+01,1.200002063596436557e+02,-3.325459313502624248e+00,-3.996101802320833896e-02,9.978007714939284512e+00,1.090384117164853485e-02
3.199999542001861386e+01,1.200002073786654933e+02,1.923715682529179904e+00,1.267393829264877071e-02,1.003756642526178666e+01,3.110914284766175958e-02
3.200007558120753259e+01,1.200001860002343506e+02,1.299948713484553586e+01,-3.301106682384018914e-02,9.897825414559875412e+00,-2.072845840906667805e-02
3.200006695316476169e+01,1.200002414390705070e+02,-4.771523389798700165e+00,6.859769698434474428e-02,9.921266534311570240e+00,-7.016293009598957575e-02
3.200005440566053494e+01,1.200001591074489653e+02,-2.071668377446620912e+00,-2.833350102537136872e-02,9.943370250006745792e+00,8.054304940895237741e-02
3.199989092088058129e+01,1.200002000119051360e+02,1.594911900461532284e+01,-6.305747791192496676e-02,1.003416615121113331e+01,-8.889114030605034175e-03
3.200002170230361287e+01,1.200001757173875916e+02,-1.527118809466566951e+01,3.047319554461100019e-02,9.981612269740962162e+00,4.111339280144205716e-02
3.199993440586786164e+01,1.200002028598144079e+02,6.271260407746706012e-01,-5.981916387057065188e-02,9.915685597264495499e+00,-1.903017797687316451e-02
3.199999503727218908e+01,1.200002123862523007e+02,5.322068953070942854e+00,-5.109218037815400904e-02,1.002335572071333658e+01,-3.918689791251796228e-02
3.199998023481133558e+01,1.200003570908206711e+02,1.125884155910711470e+01,6.470104311206784087e-02,1.003810632045940032e+01,6.282031006679862639e-02
3.199992736762068901e+01,1.200002621777491498e+02,-6.191902771560656049e+00,2.409663448973498046e-02,9.940307180820070698e+00,-4.605026294672905779e-02
3.199998516163726947e+01,1.200003567021466040e+02,4.034577413393362733e+00,5.260628801030232948e-02,9.946744311363357127e+00,-2.728679264113363645e-02
3.200001759813779501e+01,1.200002777176904800e+02,5.519373320205829714e+00,1.000053044346314000e-02,9.973413959082916946e+00,-3.891670981359870995e-02
3.199996851727037139e+01,1.200003583752281600e+02,1.087441617025775109e+01,-2.085605340145070454e-03,9.887095198158156961e+00,-5.081379112636158490e-02
3.199999312786446737e+01,1.200002619885698891e+02,-3.886075041192527557e+00,-6.055551981535761685e-02,1.009537317091255026e+01,3.972512598745487483e-02
3.199992301056948207e+01,1.200003222514373391e+02,4.701937320055340486e+00,2.696993766282455851e-03,1.009402922183512175e+01,-1.658991115155731069e-02
3.199998355178867016e+01,1.200002484448823026e+02,4.804110412600174129e+00,-1.276972605878805463e-02,9.979901356824839809e+00,7.744478068871604726e-02
3.199991956818967509e+01,1.200003400359420169e+02,-1.182044423122934118e+00,-9.667091208696397889e-03,9.945036660145170515e+00,-6.870197313623035984e-02
