gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.751144484518431199e-04,3.469325666889185467e-03,2.190281787838335888e-03
3.884687948360348209e-04,3.277020905949540926e-03,1.857771824877490563e-03
-7.349207701212727602e-04,3.792081085962714475e-03,2.563685712702074015e-03
-3.301321827154774760e-04,3.667864587481734114e-03,2.750161159546075235e-03
7.087934915838186428e-05,3.667696456652222350e-03,2.713248611861366830e-03
-4.887605175526180340e-04,3.265075306223803354e-03,2.186428932759615015e-03
1.220125808090398434e-04,3.187100169976358078e-03,2.590067587542121876e-03
1.452320713308736567e-04,3.905349539905221459e-03,2.729825981866672562e-03
-5.123853697239601820e-04,3.454379504895992246e-03,2.595897461256073489e-03
5.268627222392927977e-04,3.592800989183165660e-03,2.425735233836703517e-03
-6.375558123775839758e-04,3.954954569980006010e-03,1.680336342885894963e-03
-7.340592643001767016e-04,3.115698863010698573e-03,2.263344296674632376e-03
1.289720083901346372e-05,3.759491676942236429e-03,2.409588600563760882e-03
3.580663857703804127e-04,3.711020042297692896e-03,2.044249071937934929e-03
2.651589134682145197e-04,3.951185878710154406e-03,2.356863193349868942e-03
-4.250120080552705916e-04,3.868464657548281293e-03,2.263760348184585842e-03
4.971264566632745883e-05,3.888776852296324266e-03,2.828696774767484445e-03
3.904238597634111530e-05,3.642792576067011966e-03,2.707706888678525128e-03
-2.331861531713284310e-04,3.587137707484493523e-03,2.371914662677924394e-03
-2.352642244934351288e-04,3.773585955752232438e-03,2.107866168803985019e-03
1.711271316155041702e-04,3.365788200565211340e-03,2.924066413847910707e-03
-3.372805377115014333e-04,3.563825848503630704e-03,2.225545711806943897e-03
-1.470590555559461580e-04,3.453556705854394018e-03,2.327592844518007464e-03
3.914770144270038820e-05,3.209060918288339156e-03,2.116957699231552907e-03
-2.272812437187949773e-04,3.670253895419629993e-03,2.024303647633966721e-03
1.439136365154452904e-05,3.385847875122123627e-03,2.108724714408886404e-03
-1.501203824689667412e-04,4.129563003029659146e-03,2.687788919709695971e-03
2.153174920480060441e-04,3.287653685733993650e-03,2.846307729191995158e-03
7.945496842355117474e-06,3.722601432710706103e-03,2.206474137067929425e-03
-4.558410935342122917e-04,3.421193300130872302e-03,2.239684320762198085e-03
-3.180876439111649944e-04,3.352987362219306613e-03,2.065944652631758211e-03
-6.419346432650147516e-04,3.595923800118620665e-03,1.673016064141269596e-03
6.885914349211879389e-04,4.286861971714697739e-03,1.956449908237442581e-03
1.094597806615808133e-04,3.620056078422685415e-03,2.485642253151798282e-03
-3.913418604518947050e-04,3.607625825696638821e-03,2.797317107872379985e-03
8.266557428074468512e-05,3.622189226866750697e-03,2.418602235928857778e-03
5.540454298785401797e-04,3.380219157752109398e-03,2.152140339348402546e-03
-2.679255496281075875e-04,3.683666366007179796e-03,2.519493711750885045e-03
2.498086905592194172e-04,3.681807133732740208e-03,2.148856062995860034e-03
4.605083900703242834e-04,3.595567072426496258e-03,2.407921115214715739e-03
-4.956768585222272837e-04,3.385961671300726211e-03,2.743552530313552850e-03
-1.362240274767158917e-04,3.339814063785910992e-03,1.792415418133978073e-03
-3.067070062835509258e-05,3.018793411701351913e-03,1.934520457027390878e-03
-3.799168827828024240e-04,3.490476057938380824e-03,1.875120714189928203e-03
-1.988078123815241482e-04,3.590490086233558489e-03,1.938623001853019036e-03
-1.992737952523149561e-04,3.462544966774456622e-03,1.798021486540658798e-03
-2.698694608170301517e-04,3.727646688455135172e-03,2.378895987611835856e-03
5.266373963471738780e-04,3.383874791592638917e-03,2.027760006091306258e-03
7.884783539033349232e-04,3.584638426174610593e-03,2.540336233223399603e-03
2.478154485310939240e-05,3.476118779532514757e-03,2.252828310314840786e-03
-4.085198860847302034e-04,3.293278627448184299e-03,2.385741282751574575e-03
-4.357984953074203944e-04,3.954747222890830569e-03,2.609860449659643158e-03
1.784014150204337248e-04,3.927815164046170177e-03,2.488799717957833248e-03
-3.813429745914458579e-04,2.722570784636732868e-03,1.799167885438254788e-03
2.369486463448963417e-04,3.350044416781643424e-03,2.495501281606372565e-03
7.346516011415193319e-05,3.482155063731645628e-03,2.347396134021993448e-03
-1.005112301607585757e-04,3.798922137974363854e-03,2.160487528875610838e-03
4.795877884792964629e-04,3.214382796292217931e-03,2.371171624837589264e-03
-5.125441208290800084e-04,3.992802099600215385e-03,2.491675675151814283e-03
3.020940191204734182e-04,3.473090865125816763e-03,2.195504657193250372e-03
-9.581516791809501366e-05,3.675542736638282449e-03,2.863927698501536178e-03
2.182588986653001984e-04,3.599894457084420844e-03,1.916432547101586288e-03
-3.342004158844891649e-04,3.707973399102012981e-03,2.695851532708024370e-03
-1.232570808243886476e-04,3.635400755581904772e-03,1.907511793018129218e-03
-7.581525145842233238e-04,3.474005085259907269e-03,2.409433724999555070e-03
-2.109914261054661780e-05,4.179554585049419756e-03,2.583420739735324111e-03
1.691606948207040852e-05,3.689975471077065229e-03,2.537184796036336294e-03
-8.637835952962463456e-04,3.127387929836669168e-03,2.610281557304159304e-03
-3.770144528184105406e-04,3.911394051576040642e-03,2.625297222866475235e-03
-3.284783876356732837e-05,3.574198979187001666e-03,2.168111183906980266e-03
-7.108054664346437118e-05,4.047792404677200313e-03,2.707596892485310096e-03
5.295651915565812145e-04,3.497596732446294106e-03,2.291206576502202805e-03
5.124624524092702979e-04,3.116364714546316153e-03,2.258380838198534822e-03
-5.502373244479655750e-05,3.459864354427783992e-03,2.494902883845293191e-03
-2.288944311977335192e-04,3.493845852265024809e-03,1.637499819407852277e-03
2.468382805526122805e-05,3.556697629107614684e-03,1.770505382836772609e-03
-6.202505059006395557e-04,3.773652691479888709e-03,2.397578020468849741e-03
-2.427007666312442898e-04,3.367194451744761827e-03,2.462293500586578213e-03
2.779927972188678698e-04,3.448503468206888956e-03,2.332081069243564179e-03
-8.367316710301721109e-05,3.485357005654237620e-03,2.072347573581490455e-03
-2.594110920189650663e-04,4.455068244925418017e-03,2.430220759928135472e-03
-1.666642411987376748e-04,3.341920018446907590e-03,2.118487310105968309e-03
7.719518418409586737e-05,3.440060759225479787e-03,2.338189214245624346e-03
-2.883836978255996798e-04,3.733402441720653792e-03,1.872101563971284317e-03
3.228035878452890808e-04,3.109368139726180220e-03,2.201711821402171400e-03
4.965709047583101530e-04,3.519763580307691628e-03,2.439615567292580545e-03
2.784881551999858051e-04,3.936591654134413872e-03,2.578910166057782338e-03
-3.145415955800711375e-05,3.219725227106364201e-03,2.339569553371906134e-03
-1.923613183980237636e-04,3.114227433151731724e-03,2.837291417957704068e-03
-1.695438743187003649e-04,4.088677375150124270e-03,2.175740099810972213e-03
6.748084898888284449e-04,4.359730993292916697e-03,2.531164407028542625e-03
