ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.150818299999999539e+01,1.204019890000000004e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150818304058505603e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.999999999999999167e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.150818317135913560e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.000000000000000389e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818339232224474e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.000000000000000999e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818370347436925e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.000000000000001887e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818410481551624e+01,1.204019890000000004e+02,0.000000000000000000e+00,5.000000000000002220e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818459634568924e+01,1.204019890000000004e+02,0.000000000000000000e+00,6.000000000000003109e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818517806487762e+01,1.204019890000000004e+02,0.000000000000000000e+00,7.000000000000003997e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818584997309202e+01,1.204019890000000004e+02,0.000000000000000000e+00,8.000000000000004885e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818661207032889e+01,1.204019890000000004e+02,0.000000000000000000e+00,9.000000000000005773e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.150818746435658824e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.000000000000000666e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150818840683186295e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.100000000000000755e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150818943949616369e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.200000000000000844e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819056234949045e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.300000000000000933e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819177539183613e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.400000000000001021e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819307862320073e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.500000000000001110e+00,0.000000000000000000e+00,0.000000000000000000e+00
