ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
2.169322693432094458e-19,3.632954865960583493e-03,2.270122152608627843e-03
